% Device	CC1138020			
% File name	CC1138020_20150801_170916			
% Cast time (UTC)	01/08/2015 17:09			
% Cast time (local)	01/08/2015 17:09			
% Sample type	Cast			
% Cast data	Processed			
% Location source	GPS			
% Default latitude	32			
% Default altitude	0			
% Start latitude	45.19989			
% Start longitude	-65.9896599			
% Start altitude	-7.460000038			
% Start GPS horizontal error(Meter)	1.379999995			
% Start GPS vertical error(Meter)	1.669999957			
% Start GPS number of satellites	10			
% End latitude	45.1998191			
% End longitude	-65.990245			
% End altitude	-4.960000038			
% End GPS horizontal error(Meter)	1.730000019			
% End GPS vertical error(Meter)	2.299999952			
% End GPS number of satellites	9			
% Cast duration (Seconds)	90.6			
% Samples per second	5			
% Electronics calibration date	0001-01-01			
% Conductivity calibration date	30/09/2011			
% Temperature calibration date	30/09/2011			
% Pressure calibration date	30/09/2011			
% 				
Pressure (Decibar)	Depth (Meter)	Temperature (Celsius)	Salinity (Practical Salinity Scale)	Density (Kilograms per Cubic Meter)
0.15	0.149356084	11.15737347	31.64223083	1024.135557
0.45	0.448068198	11.12621424	31.65225627	1024.150188
0.75	0.746776966	11.13280115	31.65689347	1024.153994
1.05	1.045486461	11.14147429	31.64631237	1024.1456
1.35	1.344196055	11.12330687	31.65087125	1024.153695
1.65	1.642899743	11.09993354	31.68603345	1024.186497
1.95	1.941596839	11.08870576	31.69819552	1024.199282
2.25	2.240290675	11.07126595	31.70533949	1024.209253
2.55	2.538979813	11.05032979	31.72797415	1024.231881
2.85	2.837665947	11.0524547	31.72461132	1024.230251
3.15	3.136352012	11.05308179	31.72620476	1024.232739
3.45	3.435035774	11.03506903	31.73801337	1024.246433
3.75	3.733715519	11.01903324	31.75097989	1024.260681
4.05	4.032391604	11.00915202	31.76147066	1024.271926
4.35	4.331066224	11.00827371	31.75849366	1024.271122
4.65	4.629741304	11.01415501	31.75554305	1024.269157
4.95	4.928416435	11.01283567	31.75607279	1024.271158
5.25	5.227088939	10.99344243	31.77106733	1024.287567
5.55	5.525757806	10.98351345	31.77857101	1024.296496
5.85	5.824424914	10.97985363	31.78053659	1024.300022
6.15	6.123090924	10.97041273	31.78231846	1024.304413
6.45	6.421756057	10.96489525	31.78192853	1024.306431
6.75	6.720420146	10.9596514	31.78611893	1024.311963
7.05	7.019081492	10.94159877	31.79790524	1024.325636
7.35	7.317740589	10.94155836	31.79889851	1024.327774
7.65	7.616400735	10.95211792	31.7880294	1024.318837
7.95	7.915061551	10.94463682	31.79067688	1024.323559
8.25	8.213722904	10.9599328	31.78206533	1024.315552
8.55	8.512384774	10.96370229	31.78739046	1024.320395
8.85	8.811045581	10.95752626	31.7879138	1024.323238
9.15	9.109706209	10.9546175	31.78393587	1024.322009
9.45	9.40836538	10.93932152	31.79369308	1024.333623
9.75	9.707021064	10.92919827	31.8059999	1024.346319
10.05	10.00567403	10.92123173	31.81059455	1024.352638
10.35	10.30432633	10.91977366	31.80678213	1024.351285
10.65	10.60297667	10.90223158	31.82070778	1024.366529
10.95	10.90162377	10.89116645	31.82588404	1024.373838
11.25	11.20026896	10.88522577	31.83080918	1024.380061
11.55	11.498914	10.8899169	31.82388817	1024.37522
11.85	11.79755941	10.88627052	31.82477867	1024.377905
12.15	12.09620378	10.88896586	31.82989115	1024.382772
12.45	12.39484636	10.87354444	31.83472423	1024.390571
12.75	12.69348649	10.8566699	31.8412966	1024.399972
13.05	12.9921254	10.84940386	31.837142	1024.399359
13.35	13.29076359	10.84334755	31.84157688	1024.405219
13.65	13.58940127	10.83998706	31.83663249	1024.403313
13.95	13.88803846	10.82598298	31.83898096	1024.408926
14.25	14.18667266	10.79462928	31.84999399	1024.424281
14.55	14.48530201	10.76675606	31.86547979	1024.442509
14.85	14.78392753	10.75413036	31.87188848	1024.451035
15.15	15.08255109	10.74616385	31.87511318	1024.456279
15.45	15.38117317	10.74185419	31.87923815	1024.461592
15.75	15.67979504	10.74908844	31.87468176	1024.458156
16.05	15.97841704	10.74245429	31.87518515	1024.461052
16.35	16.27703801	10.74156857	31.87911081	1024.465619
16.65	16.57565755	10.7351861	31.88312215	1024.471201
16.95	16.87427516	10.72868919	31.89033039	1024.479291
17.25	17.17289119	10.72538638	31.89191023	1024.482449
17.55	17.47150585	10.71909499	31.897277	1024.48907
17.85	17.77011949	10.71606909	31.89585734	1024.489845
18.15	18.06873241	10.71374798	31.89941734	1024.494376
18.45	18.36734479	10.71359491	31.89714281	1024.493991
18.75	18.66595752	10.71388245	31.89328088	1024.492294
19.05	18.96457075	10.71580219	31.89028071	1024.490987
19.35	19.26318326	10.71210132	31.896251	1024.497631
19.65	19.56179403	10.70228004	31.89966624	1024.50334
19.95	19.86040398	10.69476366	31.89656048	1024.503576
20.25	20.15901345	10.68745898	31.89771427	1024.50709
20.55	20.45762153	10.68014431	31.90253006	1024.513457
20.85	20.75622781	10.67327083	31.90750048	1024.519867
21.15	21.05483255	10.67277908	31.91146592	1024.524398
21.45	21.35343659	10.66985202	31.90988647	1024.525031
21.75	21.65204064	10.66823959	31.90740701	1024.524737
22.05	21.95064475	10.66625804	31.90558745	1024.525021
22.35	22.24924817	10.65665722	31.90793371	1024.529856
22.65	22.54784952	10.63914599	31.91494112	1024.539678
22.95	22.8464471	10.60754681	31.92721832	1024.556014
23.25	23.14504212	10.59990311	31.92589371	1024.557652
23.55	23.44363595	10.59686661	31.93245215	1024.564638
23.85	23.74222768	10.58551264	31.9381476	1024.572376
24.15	24.04081883	10.58701544	31.93252129	1024.569098
24.45	24.33941086	10.59599746	31.92961263	1024.566655
24.75	24.63800263	10.59264469	31.93307156	1024.571282
25.05	24.93659587	10.58454897	31.9111122	1024.556929
25.35	25.23518742	10.55681896	31.93714895	1024.583304
25.65	25.53377194	10.5442619	31.96124129	1024.60557
25.95	25.83235099	10.48661222	31.96700697	1024.62125
26.25	26.13092876	10.45748997	31.95056255	1024.614755
26.55	26.42950201	10.4065027	31.98624979	1024.652566
26.85	26.72806645	10.38430595	32.00936164	1024.675691
27.15	27.0266275	10.37521669	32.00634134	1024.676236
27.45	27.32518724	10.36071317	32.01279421	1024.685077
27.75	27.62374489	10.34816699	32.01581492	1024.690912
28.05	27.92230012	10.33351515	32.02524474	1024.702094
28.35	28.22085207	10.32792054	32.03739822	1024.713869
28.65	28.51940257	10.34464033	32.03734497	1024.712365
28.95	28.81795386	10.34045648	32.03026653	1024.708917
29.25	29.1165062	10.33625456	32.02317844	1024.705465
29.55	29.41505741	10.31054827	32.0308194	1024.717117
29.85	29.71360552	10.29909619	32.03943905	1024.727125
30.15	30.01215143	10.29808044	32.04447732	1024.732583
