% Device,CC1138020
% File name,CC1138020_20150801_170916
% Cast time (UTC),2015-08-01 17:09:16
% Cast time (local),2015-08-01 17:09:16
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,45.19989
% Start longitude,-65.9896599
% Start altitude,-7.4600000381469727
% Start GPS horizontal error(Meter),1.37999999523163
% Start GPS vertical error(Meter),1.66999995708466
% Start GPS number of satellites,10
% End latitude,45.1998191
% End longitude,-65.990245
% End altitude,-4.9600000381469727
% End GPS horizontal error(Meter),1.73000001907349
% End GPS vertical error(Meter),2.29999995231628
% End GPS number of satellites,9
% Cast duration (Seconds),90.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-09-30
% Temperature calibration date,2011-09-30
% Pressure calibration date,2011-09-30
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1497559797636924,13.701993635203467,34869.3365563507,45048.501745183268,28.721198934834014,1495.1261385423886,1021.4008014084448
0.44999999999999996,0.44894449822479382,12.04010572741185,36100.2466274322,48731.295333096059,31.18862245089738,1492.4190507062265,1023.6258467149248
0.74999999999999989,0.74780507973688082,11.84427322588758,35896.408284650061,48713.687558136538,31.156175576721836,1491.7085070692472,1023.6378561333502
1.05,1.0466342812178733,11.55889780145087,35848.653361075034,49028.629850613746,31.350025728533286,1490.9533477472724,1023.8412384973411
1.35,1.3454040129120142,11.27352237701416,35800.8984375,49348.527646968127,31.546132002848488,1490.1949411668779,1024.045793023512
1.65,1.6441262487444845,11.145167350769043,35816.5234375,49545.383328731426,31.671463383210227,1489.8992445905969,1024.1672211484697
1.9500000000000002,1.942829076602328,11.1280517578125,35811.69140625,49562.167988349822,31.681325128880658,1489.8557706430506,1024.1792559698522
2.25,2.2415284508783797,11.110936164855957,35806.859375,49578.968558904475,31.691193260558855,1489.8122819480898,1024.1912936518595
2.55,2.5402222868716136,11.086523056030273,35812.63671875,49620.514372006663,31.717799988648363,1489.7631847928803,1024.2176258109216
2.85,2.8389127150386604,11.090821743011475,35812.380859375,49614.249731387186,31.71371570730285,1489.7783610498075,1024.2150534766713
3.15,3.1376039500930548,11.095120429992676,35812.125,49607.986582921156,31.709632237893384,1489.79353708483,1024.21248162397
3.4499999999999997,3.4362925541599663,11.063115119934082,35802.53125,49638.711368849494,31.727679907266467,1489.7073374202664,1024.233486606551
3.75,3.7349742016691181,11.03566312789917,35805.904296875,49681.206323012979,31.754591593139015,1489.6478019363183,1024.2605812403258
4.05,4.0336480019253065,11.008211135864258,35809.27734375,49723.766071905586,31.781536305156976,1489.5882556622792,1024.2876974082592
4.35,4.3323174296852276,11.004697799682617,35808.00390625,49726.8496814958,31.783196486665531,1489.5827823396353,1024.2909608935834
4.6499999999999995,4.6309864725900605,11.004254341125488,35805.564453125,49724.074430040986,31.781049524494776,1489.5835669247631,1024.2907266115481
4.9499999999999993,4.9296556405934968,11.003810882568359,35803.125,49721.299110220687,31.778902550501673,1489.5843514537983,1024.2904923209837
5.2499999999999991,5.2283224866935036,10.991551399230957,35809.5,49747.09148098177,31.795680124384806,1489.5661839640197,1024.3070423361996
5.55,5.5269869209768965,10.989899635314941,35806.529296875,49745.247499579011,31.794054801613367,1489.5633267894714,1024.3074247689997
5.85,5.82565130055146,10.988247871398926,35803.55859375,49743.403348908651,31.792429354297116,1489.5604691448418,1024.3078070832446
6.1499999999999995,6.12431608338589,10.986572265625,35796.46875,49735.86882042863,31.786760248559002,1489.5526569114534,1024.3050482023812
6.4499999999999993,6.4229812012549132,10.978629112243652,35787.15625,49733.907507083844,31.784324598951997,1489.5265885904983,1024.3058984869213
6.7499999999999991,6.7216449162706056,10.974389553070068,35792.763671875,49747.56224712704,31.793405415884386,1489.5274775832822,1024.315060247664
7.0499999999999989,7.0203060165147875,10.970149993896484,35798.37109375,49761.220205954618,31.80248825296033,1489.5283683177884,1024.324223588889
7.35,7.31896616965993,10.970725059509277,35794.3984375,49754.902602439113,31.797943522981846,1489.5298628034043,1024.3219462539939
7.6499999999999995,7.6176263672083486,10.967323780059815,35792.07421875,49756.37670127827,31.798471296102402,1489.5234108316456,1024.3243084947897
7.9499999999999993,7.9162859327958985,10.963922500610352,35789.75,49757.85107894252,31.79899907255178,1489.5169578403441,1024.3266706552722
8.25,8.2149438916899964,10.963957786560059,35799.9296875,49771.954883228456,31.808893114973959,1489.5339373720558,1024.3357191643684
8.5499999999999989,8.5135996803266742,10.953408241271973,35794.73828125,49779.339473246611,31.812787980308553,1489.5062637121157,1024.34194723855
8.85,8.8122545464891413,10.948316097259522,35788.107421875,49777.168039038217,31.810529625289991,1489.4904701578855,1024.3424365156332
9.1499999999999986,9.1109093268944985,10.94322395324707,35781.4765625,49774.995989567513,31.808270577015016,1489.4746731423882,1024.3429249988981
9.45,9.4095612705958569,10.921287536621094,35780.79296875,49804.441074491187,31.826499504922062,1489.423960090829,1024.3622853418156
9.75,9.7082093102256231,10.912764549255371,35779.896484375,49815.01275862773,31.832886278432209,1489.4064268709153,1024.370096006202
10.049999999999999,10.006855129307084,10.904241561889648,35779,49825.589461799711,31.839275282247563,1489.3888910173937,1024.37790796814
10.35,10.305499324001266,10.884559631347656,35760.46484375,49827.0916671787,31.83791394935065,1489.3224854058929,1024.3816290492111
10.649999999999999,10.604139804012023,10.857820510864258,35758.08203125,49860.925067121636,31.858671310711109,1489.2577033929081,1024.4037815078996
