% Device	CC1138020						
% File name	CC1138020_20150801_170916						
% Cast time (UTC)	01/08/2015 17:09						
% Cast time (local)	01/08/2015 17:09						
% Sample type	Cast						
% Cast data	Processed						
% Location source	GPS						
% Default latitude	32						
% Default altitude	0						
% Start latitude	45.19989						
% Start longitude	-65.9896599						
% Start altitude	-7.460000038						
% Start GPS horizontal error(Meter)	1.379999995						
% Start GPS vertical error(Meter)	1.669999957						
% Start GPS number of satellites	10						
% End latitude	45.1998191						
% End longitude	-65.990245						
% End altitude	-4.960000038						
% End GPS horizontal error(Meter)	1.730000019						
% End GPS vertical error(Meter)	2.299999952						
% End GPS number of satellites	9						
% Cast duration (Seconds)	90.6						
% Samples per second	5						
% Electronics calibration date	0001-01-01						
% Conductivity calibration date	30/09/2011						
% Temperature calibration date	30/09/2011						
% Pressure calibration date	30/09/2011						
% 							
Pressure (Decibar)	Depth (Meter)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)	Specific conductance (MicroSiemens per Centimeter)	Salinity (Practical Salinity Scale)	Sound velocity (Meters per Second)	Density (Kilograms per Cubic Meter)
0.15	0.149356084	11.15737347	35796.8204	49501.41142	31.64223083	1489.88238	1024.135557
0.45	0.448068198	11.12621424	35779.8754	49520.6544	31.65225627	1489.789655	1024.150188
0.75	0.746776966	11.13280115	35790.48672	49526.31069	31.65689347	1489.823369	1024.153994
1.05	1.045486461	11.14147429	35787.43715	49510.20656	31.64631237	1489.846124	1024.1456
1.35	1.344196055	11.12330687	35776.30017	49519.6914	31.65087125	1489.792557	1024.153695
1.65	1.642899743	11.09993354	35791.72056	49573.11143	31.68603345	1489.757429	1024.186497
1.95	1.941596839	11.08870576	35794.37307	49592.2094	31.69819552	1489.737419	1024.199282
2.25	2.240290675	11.07126595	35786.47707	49605.24137	31.70533949	1489.689457	1024.209253
2.55	2.538979813	11.05032979	35791.24133	49640.6573	31.72797415	1489.647777	1024.231881
2.85	2.837665947	11.0524547	35789.81625	49635.75511	31.72461132	1489.656163	1024.230251
3.15	3.136352012	11.05308179	35792.11045	49638.07346	31.72620476	1489.66523	1024.232739
3.45	3.435035774	11.03506903	35788.432	49657.78194	31.73801337	1489.620812	1024.246433
3.75	3.733715519	11.01903324	35787.65341	49678.80893	31.75097989	1489.584746	1024.260681
4.05	4.032391604	11.00915202	35789.75407	49695.35808	31.76147066	1489.567418	1024.271926
4.35	4.331066224	11.00827371	35786.09113	49691.48399	31.75849366	1489.565667	1024.271122
4.65	4.629741304	11.01415501	35788.38361	49686.55186	31.75554305	1489.587822	1024.269157
4.95	4.928416435	11.01283567	35787.89037	49687.68734	31.75607279	1489.588736	1024.271158
5.25	5.227088939	10.99344243	35786.21005	49712.12482	31.77106733	1489.543224	1024.287567
5.55	5.525757806	10.98351345	35785.23124	49724.48187	31.77857101	1489.522113	1024.296496
5.85	5.824424914	10.97985363	35784.13867	49728.02146	31.78053659	1489.516482	1024.300022
6.15	6.123090924	10.97041273	35777.78711	49732.24435	31.78231846	1489.490194	1024.304413
6.45	6.421756057	10.96489525	35772.67773	49732.77065	31.78192853	1489.475154	1024.306431
6.75	6.720420146	10.9596514	35772.44816	49739.70376	31.78611893	1489.466596	1024.311963
7.05	7.019081492	10.94159877	35768.66874	49759.42913	31.79790524	1489.421884	1024.325636
7.35	7.317740589	10.94155836	35769.76562	49761.01101	31.79889851	1489.427874	1024.327774
7.65	7.616400735	10.95211792	35768.15309	49744.153	31.7880294	1489.457065	1024.318837
7.95	7.915061551	10.94463682	35764.39648	49749.28063	31.79067688	1489.438729	1024.323559
8.25	8.213722904	10.9599328	35769.22266	49734.82967	31.78206533	1489.487388	1024.315552
8.55	8.512384774	10.96370229	35778.05096	49741.89069	31.78739046	1489.512067	1024.320395
8.85	8.811045581	10.95752626	35773.28841	49743.81185	31.7879138	1489.495795	1024.323238
9.15	9.109706209	10.9546175	35766.83398	49738.86036	31.78393587	1489.485653	1024.322009
9.45	9.40836538	10.93932152	35763.41992	49755.27975	31.79369308	1489.44824	1024.333623
9.75	9.707021064	10.92919827	35767.12012	49774.44786	31.8059999	1489.432187	1024.346319
10.05	10.00567403	10.92123173	35764.90416	49782.40227	31.81059455	1489.414467	1024.352638
