% Device	CC1138020		
% File name	CC1138020_20150801_170916		
% Cast time (UTC)	01/08/2015 17:09		
% Cast time (local)	01/08/2015 17:09		
% Sample type	Cast		
% Cast data	Raw		
% Location source	GPS		
% Default latitude	32		
% Default altitude	0		
% Start latitude	45.19989		
% Start longitude	-65.9896599		
% Start altitude	-7.460000038		
% Start GPS horizontal error(Meter)	1.379999995		
% Start GPS vertical error(Meter)	1.669999957		
% Start GPS number of satellites	10		
% End latitude	45.1998191		
% End longitude	-65.990245		
% End altitude	-4.960000038		
% End GPS horizontal error(Meter)	1.730000019		
% End GPS vertical error(Meter)	2.299999952		
% End GPS number of satellites	9		
% Cast duration (Seconds)	90.6		
% Samples per second	5		
% Electronics calibration date	0001-01-01		
% Conductivity calibration date	30/09/2011		
% Temperature calibration date	30/09/2011		
% Pressure calibration date	30/09/2011		
% 			
Time (Seconds)	Pressure (Decibar)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)
0.2	0	19.28732681	8.990652084
0.4	0.00765004	19.27538681	13.13263035
0.6	0.00885038	19.25598335	13.1083622
0.8	0.005989976	19.26090622	13.07441521
1	0.001456826	19.25147438	13.04945946
1.2	0.001225701	19.23299789	13.03998947
1.4	-0.000201331	19.2326622	13.02219009
1.6	-0.000432455	19.20703125	13.0110302
1.8	0.001245676	19.18708801	12.95705509
2	0.002444109	19.18302727	12.94191933
2.2	0.001019938	19.1608696	12.91214371
2.4	0.001979952	19.16146088	12.61245441
2.6	0.004852084	19.15825272	12.3351984
2.8	0.001276423	19.15903664	12.22693253
3	0.002239299	19.1466713	12.21671677
3.2	0.000572895	19.14290619	12.20628738
3.4	0.004639026	19.15417862	12.23907948
3.6	0.00225832	19.21838951	12.26680088
3.8	0.002263706	19.22059059	12.24433994
4	0.002270047	19.19103241	12.20262527
4.2	-0.001306568	19.20392227	12.17646217
4.4	-0.001299274	19.2171402	12.17684937
4.6	-0.002249469	19.20959091	12.19274902
4.8	-9.35E-05	19.14709854	12.16458893
5	-8.63E-05	19.09459305	12.15533638
5.2	0.000636297	19.03709412	12.19384575
5.4	0.001121382	19.01954651	12.20573997
5.6	-6.72E-05	18.9896431	12.19202995
5.8	0.002802992	18.99171638	12.21144676
6	0.002571868	18.98531342	12.28451824
6.2	0.004250953	18.9801445	12.26991653
6.4	0.001391502	18.93205643	12.21626854
6.6	0.00163626	18.87430191	12.1929493
6.8	0.004270927	18.8534584	12.20336914
7	0.001410522	18.82071877	12.34984779
7.2	0.007146538	18.7810936	12.98319435
7.4	0.009065949	18.75744629	13.0575304
7.6	0.007878289	18.7481041	13.14145851
7.8	0.009557374	18.73809624	13.14221478
8	0.009561807	18.73882866	13.35274124
8.2	0.005031518	18.75881577	13.28002357
8.4	0.004559114	18.75680923	13.17837906
8.6	0.00599978	18.74785805	13.09137726
8.8	0.006482958	18.76492882	13.12194157
9	0.012460253	18.7866497	13.18130493
9.2	0.013899012	18.75469971	13.27050972
9.4	0.015579051	18.71190262	13.6419878
9.6	0.016779391	18.66629219	13.97941208
9.8	0.010335078	18.60652351	14.11990547
10	0.01583649	18.56561279	14.32890511
10.2	0.014886295	18.53244781	24.70752907
10.4	0.145081577	16.29458237	29447.94727
10.6	0.231089313	13.5364399	35108.69141
10.8	0.138402325	12.87483025	35988.24219
11	0.120252613	12.61747742	35635.42969
11.2	0.153704312	12.52690506	35247.82031
11.4	0.194560338	12.46925926	34907.61328
11.6	0.240676831	12.40006161	32258.42969
11.8	0.297308538	12.33810902	35089.74219
12	0.361829038	12.26390934	35582.77734
12.2	0.445470709	12.13612366	35932.98047
12.4	0.504745047	12.05906963	36062.92578
12.6	0.522675696	12.05055428	36117.06641
12.8	0.527942503	12.04329014	36178.46875
13	0.525079238	12.00307846	36174.76953
13.2	0.522696624	11.97136116	36152.39063
13.4	0.506212028	11.9288969	36134.01563
13.6	0.476823265	11.90547466	36131.26172
13.8	0.453168945	11.89162922	36125.37891
14	0.435969093	11.884202	36124.27344
14.2	0.439800621	11.87478161	36157.17969
14.4	0.457252526	11.87258244	36186.625
14.6	0.484741852	11.91481495	36154.27734
14.8	0.514621087	11.90386105	36106.66406
15	0.528489083	11.91596222	36086.37891
15.2	0.538295381	11.93883514	36095.87891
15.4	0.538542047	11.95537567	36094.41406
15.6	0.528508104	11.98071766	36113.375
15.8	0.520628511	11.98896503	36144.20313
16	0.513702593	11.97661304	36178.85547
16.2	0.499131068	11.98035431	36199.36328
16.4	0.482169634	11.98820496	36224.64453
16.6	0.472853808	12.00143051	36217.11719
16.8	0.46425896	12.01697254	36229.99219
17	0.455182506	12.03590965	36230.73828
17.2	0.445152378	12.05934238	36255.53125
17.4	0.437034366	12.07521343	36270.3125
17.6	0.430588146	12.08279705	36275.69922
17.8	0.429399533	12.08726883	36280.97656
18	0.429644291	12.11211777	36280.13281
18.2	0.440405217	12.09879589	36322.94141
18.4	0.452837933	12.09866905	36331.67969
18.6	0.467659604	12.11087799	36332.00781
18.8	0.494194303	12.11628342	36286.48047
19	0.519056257	12.10653877	36221.80469
19.2	0.549416143	12.08630562	36174.60156
19.4	0.575473051	12.04264545	36160.60938
19.6	0.594123724	12.01818562	36170.28906
19.8	0.600344206	12.0346632	36168.72656
20	0.593178916	12.0535841	36190.90625
20.2	0.580278228	12.04006195	36209.25
20.4	0.57000682	12.01788902	36222.09375
20.6	0.559020156	11.99399567	36227.61328
20.8	0.551378029	11.98866367	36207.33594
21	0.53728334	11.98282146	36202.04297
21.2	0.522471489	11.98541641	36201.3125
21.4	0.512439453	12.02805042	36214.96094
21.6	0.512925492	12.06010056	36218.54688
21.8	0.606384286	12.05501652	36097.16016
22	0.85238424	11.75939465	35813.25391
22.2	1.226895624	11.27352238	35800.89844
22.4	1.698257402	11.14516735	35816.52344
22.6	2.131808855	11.11093616	35806.85938
22.8	2.589305162	11.08652306	35812.63672
23	3.08444681	11.09512043	35812.125
23.2	3.571723505	11.06311512	35802.53125
23.4	4.033113665	11.00821114	35809.27734
23.6	4.427529185	11.0046978	35808.00391
23.8	4.878819934	11.00381088	35803.125
