% Device	CC1138020						
% File name	CC1138020_20150801_170916						
% Cast time (UTC)	01/08/2015 17:09						
% Cast time (local)	01/08/2015 17:09						
% Sample type	Cast						
% Cast data	Up						
% Location source	GPS						
% Default latitude	32						
% Default altitude	0						
% Start latitude	45.19989						
% Start longitude	-65.9896599						
% Start altitude	-7.460000038						
% Start GPS horizontal error(Meter)	1.379999995						
% Start GPS vertical error(Meter)	1.669999957						
% Start GPS number of satellites	10						
% End latitude	45.1998191						
% End longitude	-65.990245						
% End altitude	-4.960000038						
% End GPS horizontal error(Meter)	1.730000019						
% End GPS vertical error(Meter)	2.299999952						
% End GPS number of satellites	9						
% Cast duration (Seconds)	90.6						
% Samples per second	5						
% Electronics calibration date	0001-01-01						
% Conductivity calibration date	30/09/2011						
% Temperature calibration date	30/09/2011						
% Pressure calibration date	30/09/2011						
% 							
Pressure (Decibar)	Depth (Meter)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)	Specific conductance (MicroSiemens per Centimeter)	Salinity (Practical Salinity Scale)	Sound velocity (Meters per Second)	Density (Kilograms per Cubic Meter)
30.33330947	30.19477891	10.30970192	35472.36719	50230.34075	32.04567293	1487.851794	1024.732387
30.15	30.01235837	10.29808044	35460.88281	50230.6108	32.04447732	1487.805581	1024.732583
29.85	29.71381023	10.32966246	35470.46001	50199.26251	32.02636274	1487.892122	1024.711781
29.55	29.41525991	10.32426721	35473.28688	50210.93101	32.0340831	1487.877174	1024.717346
29.25	29.11671032	10.33142608	35481.38271	50212.21423	32.03602044	1487.900292	1024.716286
28.95	28.81815833	10.3430592	35475.57108	50187.46521	32.02006602	1487.917782	1024.70053
28.65	28.51960465	10.34032426	35479.02935	50196.24196	32.02607195	1487.91031	1024.704311
28.35	28.22104875	10.38766428	35507.6685	50169.55656	32.01320591	1488.05961	1024.68492
28.05	27.92248748	10.40991247	35510.76491	50142.40707	31.99685751	1488.114619	1024.667054
27.75	27.6239239	10.38329601	35485.23452	50144.04891	31.99483401	1488.011826	1024.668625
27.45	27.32536147	10.38094636	35491.9494	50156.86839	32.00375595	1488.009275	1024.674613
27.15	27.0267989	10.38773826	35491.54443	50146.66968	31.99750101	1488.021118	1024.66723
26.85	26.72823591	10.38802719	35498.78125	50156.48521	32.00462293	1488.025847	1024.671369
26.55	26.42967277	10.3954143	35501.28353	50149.55218	32.00075626	1488.042713	1024.665745
26.25	26.13110841	10.3892765	35492.25781	50145.4979	31.99724498	1488.011523	1024.662688
25.95	25.83254189	10.44383219	35538.08523	50132.96114	31.99526302	1488.199648	1024.650533
25.65	25.53396544	10.55544275	35589.60723	50048.04395	31.94890022	1488.537682	1024.59405
25.35	25.23537915	10.56907463	35591.55469	50031.60056	31.93902806	1488.569478	1024.582672
25.05	24.93679042	10.55249027	35567.5451	50021.17269	31.92973585	1488.494093	1024.576911
24.75	24.6382022	10.55253506	35580.64063	50039.52681	31.94288504	1488.505221	1024.585783
24.45	24.33961414	10.55877378	35578.6222	50027.90932	31.93553414	1488.513674	1024.577633
