% Device,% Device,,,,,,
% File name,CC1607005_20160531_185302,,,,,,
% Cast time (UTC),5/31/2016 18:53,,,,,,
% Cast time (local),5/31/2016 18:53,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Down & up,,,,,,
% Location source,GPS,,,,,,
% Default latitude,45,,,,,,
% Default altitude,0,,,,,,
% Start latitude,45.5900254,,,,,,
% Start longitude,-61.3667997,,,,,,
% Start altitude,-19.43000031,,,,,,
% Start GPS horizontal error(Meter),3.829999924,,,,,,
% Start GPS vertical error(Meter),6.619999886,,,,,,
% Start GPS number of satellites,5,,,,,,
% End latitude,45.5902261,,,,,,
% End longitude,-61.3663364,,,,,,
% End altitude,-11.22999954,,,,,,
% End GPS horizontal error(Meter),4.409999847,,,,,,
% End GPS vertical error(Meter),8.569999695,,,,,,
% End GPS number of satellites,6,,,,,,
% Cast duration (Seconds),82,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,01/01/2001,,,,,,
% Conductivity calibration date,3/14/2016,,,,,,
% Temperature calibration date,03/11/2016,,,,,,
% Pressure calibration date,03/09/2016,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149572918,9.947280532,32536.39862,46550.68739,29.42266963,1482.861443,1022.610213
0.45,0.448773193,10.26824419,32429.52292,45975.52794,29.057046,1483.591714,1022.275478
0.75,0.747953357,9.812108693,32556.01457,46759.61294,29.55252631,1482.534481,1022.735529
1.05,1.047066697,9.810720692,32549.27512,46751.79725,29.54677004,1482.527319,1022.732629
1.35,1.346180103,9.808440749,32548.95041,46754.39306,29.54819095,1482.525612,1022.735465
1.65,1.64529255,9.80507789,32549.15344,46759.20212,29.55102998,1482.52166,1022.739578
1.95,1.944412471,9.797693143,32470.06158,46655.48007,29.47746773,1482.410092,1022.684748
2.25,2.243577754,9.622252112,31966.93886,46165.3083,29.11385066,1481.327725,1022.429848
2.55,2.542723514,8.908261108,31743.97954,46808.622,29.47205748,1479.115989,1022.818652
2.85,2.84177165,8.54563417,31729.09786,47292.44005,29.75969399,1478.109185,1023.097864
3.15,3.140773737,8.411343534,31639.3936,47348.28093,29.77962887,1477.630294,1023.134096
3.45,3.439765566,8.178729746,31451.073,47396.43928,29.77976517,1476.750855,1023.168455
3.75,3.738732606,7.935998854,31376.63134,47632.7308,29.9081406,1475.986117,1023.304163
4.05,4.03766811,7.766166733,31306.46336,47772.54479,29.97948508,1475.42674,1023.384733
4.35,4.336586609,7.613871134,31200.18465,47832.69138,29.99770145,1474.866749,1023.420981
4.65,4.635491149,7.479116023,31139.24999,47937.3422,30.0490965,1474.413853,1023.48071
4.95,4.934379241,7.394117771,31118.84219,48031.62477,30.10086185,1474.153241,1023.534007
5.25,5.2332539,7.332220578,31103.84653,48100.38713,30.13849086,1473.964336,1023.573104
5.55,5.532119293,7.300684453,31101.18746,48143.23285,30.16297565,1473.876989,1023.597866
5.85,5.830980786,7.288189432,31090.35189,48145.08407,30.16211226,1473.83217,1023.60021
6.15,6.129846117,7.271460163,31039.14823,48090.70936,30.12161942,1473.721504,1023.571963
6.45,6.42871524,7.204434612,30976.06462,48092.85583,30.11212805,1473.453228,1023.574621
6.75,6.727578125,7.149847527,30969.7629,48164.71194,30.15284084,1473.295693,1023.615086
7.05,7.026433033,7.130728984,30967.02033,48189.10325,30.16645971,1473.24285,1023.62965
7.35,7.325289476,7.11077392,30917.13145,48141.36764,30.1300191,1473.12429,1023.604962
7.65,7.624148318,7.063236944,30880.07897,48154.96175,30.13147234,1472.944953,1023.613605
7.95,7.923001713,7.00569114,30857.48936,48206.25373,30.15729435,1472.756566,1023.642667
8.31448228,8.286081045,6.980307417,30863.19093,48253.43067,30.18553613,1472.698208,1023.669805
8.31448228,8.284324417,6.934815206,30842.72114,48290.11995,30.20330417,1472.54181,1023.689573
7.95,7.921259593,6.917435938,30845.61993,48320.95533,30.22187188,1472.490774,1023.704703
7.65,7.622427607,6.917929173,30840.01367,48311.42632,30.21550018,1472.479851,1023.698241
7.35,7.323595876,6.920753406,30853.40035,48328.12052,30.22765188,1472.501225,1023.706055
7.05,7.024763603,6.95556621,30874.35544,48308.2591,30.21988731,1472.623341,1023.694134
6.75,6.725929316,6.993514038,30909.69506,48306.18953,30.22492707,1472.773624,1023.691872
6.45,6.427095527,7.02307415,30945.88477,48318.10435,30.23822503,1472.901201,1023.697162
6.15,6.128259042,7.039711952,30934.97656,48275.99045,30.21198161,1472.92874,1023.673004
5.85,5.829422033,7.058065137,30977.94146,48315.36359,30.24240317,1473.033669,1023.693185
5.55,5.530586175,7.112996578,31017.50586,48294.31876,30.23704347,1473.23701,1023.680508
5.25,5.231747234,7.155626774,31049.75977,48280.44557,30.23457627,1473.395629,1023.671667
4.95,4.932905088,7.187826728,31066.43422,48258.04874,30.22446863,1473.503853,1023.658157
4.65,4.634059657,7.205493927,31073.94336,48243.23364,30.21722352,1473.558863,1023.648779
4.35,4.335210657,7.23834842,31088.94574,48217.33629,30.20476265,1473.666564,1023.63332
4.05,4.036366104,7.329461424,31232.8122,48303.94758,30.27965774,1474.10964,1023.678848
3.75,3.737522093,7.431890488,31283.8125,48230.01686,30.2449438,1474.459388,1023.636649
3.45,3.438667191,7.5465513,31357.99418,48174.06595,30.22441136,1474.873149,1023.603848
3.15,3.139799263,7.868487031,31606.79904,48080.70266,30.20947783,1476.090205,1023.54703
2.85,2.840893758,8.162955476,31655.02606,47726.48518,30.00719293,1476.961604,1023.346124
2.55,2.541945717,8.264096911,31645.71695,47567.37728,29.91131916,1477.223559,1023.255381
2.25,2.242978589,8.28982581,31623.40962,47497.10887,29.86626435,1477.260939,1023.215071
