DEPLOY,SDEPTH,TEMP,SAL,DENSITY,OXYMLL,OXYMGL,OXYPSAT,OXYSATMGL,TURBFTU,WETLABS,PAR,TRANSX
4261,1,4.4281,32.3348,25.6236,6.80806,9.72939,93.265,10.45435,0.083,0.2077,1750,0
4261,2,4.426,32.3349,25.6239,6.8224,9.74988,93.44361,10.45638,-99,0.2853,669,0
4261,3,4.4263,32.3347,25.6237,6.8281,9.75804,93.5083,10.45791,-99,0.3289,387,0
4261,4,4.4214,32.3352,25.6246,6.82161,9.74877,93.42521,10.45725,-99,0.3354,269,0
4261,5,4.4226,32.3351,25.6243,6.82578,9.75472,93.46658,10.45903,-99,0.3708,185,0
4261,6,4.4201,32.335,25.6246,6.82568,9.75458,93.46538,10.45901,-99,0.3988,128,0
4261,7,4.418,32.3354,25.6251,6.8273,9.7569,93.49765,10.45788,-99,0.3694,86.3,0
4261,8,4.4158,32.335,25.625,6.83707,9.77085,93.62647,10.45843,-99,0.3875,57.7,0
4261,9,4.4119,32.3351,25.6256,6.82589,9.75488,93.46714,10.45914,-99,0.3712,40.4,0
4261,10,4.4167,32.3356,25.6255,6.83567,9.76885,93.59584,10.45973,-99,0.3741,28,0
4261,11,4.4151,32.3357,25.6257,6.82732,9.75693,93.48632,10.4592,-99,0.3782,20.4,0
4261,12,4.4123,32.3354,25.6258,6.82487,9.75342,93.46179,10.45818,-99,0.3716,14.8,0
4261,13,4.4105,32.3361,25.6265,6.82347,9.75142,93.45142,10.45718,-99,0.3561,10.5,0
4261,14,4.4095,32.337,25.6273,6.83076,9.76184,93.55699,10.45653,-99,0.3816,7.36,0
4261,15,4.4127,32.34,25.6294,6.82636,9.75555,93.50259,10.455870000000001,0.067,0.3681,5.38,0
4261,16,4.4161,32.3427,25.6312,6.82278,9.75043,93.47029,10.45398,0.067,0.3668,3.86,0
4261,17,4.4185,32.3439,25.6319,6.8244,9.75274,93.49623,10.45356,0.076,0.3701,2.84,0
4261,18,4.4208,32.3452,25.6327,6.82368,9.75172,93.48688,10.4535,0.066,0.3531,2.13,0
4261,19,4.4233,32.3474,25.6342,6.83068,9.76173,93.58332,10.45344,0.064,0.3634,1.57,0
4261,20,4.4285,32.3523,25.6376,6.8181,9.74375,93.41091,10.45345,0.07,0.3614,1.15,0
4261,21,4.4291,32.3531,25.6381,6.82792,9.75778,93.54599,10.45339,0.071,0.3649,0.852,0
4261,22,4.4293,32.3531,25.6382,6.82678,9.75615,93.54266,10.45199,0.07,0.3427,0.617,0
4261,23,4.4294,32.3531,25.6381,6.82076,9.74755,93.54005,10.443,0.066,0.3774,0.462,0
4261,24,4.4294,32.3533,25.6383,6.82677,9.75614,93.60396,10.44509,0.061,0.3588,0.355,0
4261,25,4.4297,32.3533,25.6383,6.8226,9.75018,93.52057,10.44805,-99,0.3514,0.271,0
4261,26,4.4466,32.3639,25.6449,6.81802,9.74364,93.47142,10.4465,-99,0.3617,0.206,0
4261,27,4.4639,32.3818,25.6574,6.81099,9.73358,93.43031,10.44025,-99,0.3482,0.159,0
4261,28,4.4536,32.3743,25.6525,6.82189,9.74917,93.60191,10.43778,-99,0.3563,0.123,0
4261,29,4.447,32.3694,25.6493,6.81614,9.74095,93.53386,10.43655,-99,0.3373,0.096,0
4261,30,4.458,32.3778,25.6548,6.81855,9.74439,93.56338,10.43696,-99,0.3649,0.0759,0
4261,31,4.48,32.3885,25.6611,6.80979,9.73187,93.42423,10.4391,-99,0.3453,0.0623,0
4261,32,4.4821,32.3947,25.6658,6.81617,9.74099,93.52925,10.43713,-99,0.3582,0.0521,0
4261,33,4.4841,32.3963,25.6669,6.80984,9.73194,93.46982,10.43403,-99,0.3338,0.0437,0
4261,34,4.4804,32.3948,25.666,6.81735,9.74267,93.58755,10.43237,-99,0.3405,0.037,0
4261,35,4.4755,32.3899,25.6627,6.81287,9.73627,93.52474,10.43252,-99,0.3401,0.0318,0
4261,36,4.4863,32.4008,25.6702,6.81266,9.73598,93.52236,10.43248,-99,0.3439,0.0278,0
4261,37,4.4967,32.4031,25.6709,6.81821,9.7439,93.60485,10.43176,-99,0.3385,0.0256,0
4261,38,4.4985,32.4041,25.6716,6.80902,9.73077,93.48667,10.43086,-99,0.3416,0.0238,0
4261,39,4.4969,32.4031,25.6709,6.81276,9.73611,93.52572,10.43224,-99,0.3459,0.0229,0
4261,40,4.4987,32.4047,25.672,6.81353,9.73722,93.55971,10.42961,-99,0.3517,0.0217,0
4261,41,4.5017,32.406,25.6727,6.81762,9.74306,93.62334,10.42876,-99,0.3538,0.0207,0
